Unnamed: 0,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,boundary_pct,is_anchor,is_power_hitter,is_finisher,is_experienced,role,predicted_role
328,JL Denly,2013-2021,53,1170,24.89,112.5,115,35,2013,2021,9,57.26495726495726,True,False,False,True,Experienced Anchor,Experienced Anchor
329,M Manhas,2007-2017,91,1170,21.66,104.55,102,21,2007,2017,11,45.64102564102564,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
330,SM Katich,2008-2014,66,1168,25.39,123.86,120,26,2008,2014,7,54.45205479452054,True,False,False,True,Experienced Anchor,Experienced Anchor
331,Ariful Haque,2012-2025,93,1167,20.47,120.18,76,44,2012,2025,14,48.67180805484148,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
332,SS Prabhudessai,2019-2024,53,1167,31.54,137.45,110,41,2019,2024,6,58.783204798628965,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
333,UM Patel,2018-2024,47,1162,26.4,170.38,134,54,2018,2024,7,74.01032702237521,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
334,CJ Green,2015-2025,194,1158,13.95,128.66,83,33,2015,2025,11,45.76856649395509,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
335,A Badoni,2021-2024,71,1157,28.92,134.69,92,44,2021,2024,4,54.62402765773552,True,False,False,False,Inexperienced Anchor,Experienced Anchor
336,M Rawat,2007-2018,62,1153,33.91,122.65,111,25,2007,2018,12,51.517779705117086,True,False,False,True,Experienced Anchor,Experienced Anchor
337,BB Samantray,2009-2021,71,1146,20.1,117.05,88,34,2009,2021,13,48.51657940663176,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
338,B Aparajith,2013-2023,62,1144,27.9,109.05,80,31,2013,2023,11,44.230769230769226,True,False,False,True,Experienced Anchor,Experienced Anchor
339,C Bishnoi,2016-2022,50,1141,27.16,113.64,112,29,2016,2022,7,54.51358457493427,True,False,False,True,Experienced Anchor,Experienced Anchor
340,SM Curran,2019-2024,89,1138,22.31,131.25,89,52,2019,2024,6,58.69947275922671,False,False,False,True,Experienced Balanced Batter,Experienced Anchor
341,HV Patel,2011-2024,173,1137,15.57,140.89,110,64,2011,2024,14,72.47141600703605,False,True,True,True,Experienced Explosive Finisher,Experienced Explosive Finisher
342,J Fraser-McGurk,2020-2025,60,1135,20.63,146.83,89,68,2020,2025,6,67.31277533039648,False,True,True,True,Experienced Explosive Finisher,Experienced Elite Batter
343,Sohaib Maqsood,2014-2023,54,1131,26.3,126.22,99,52,2014,2023,10,62.59946949602122,True,False,False,True,Experienced Anchor,Experienced Anchor
344,Haider Ali,2020-2025,70,1129,19.8,137.34,99,58,2020,2025,6,65.89902568644818,False,True,True,True,Experienced Explosive Finisher,Experienced Explosive Finisher
345,DC Thomas,2013-2022,87,1128,18.49,117.5,94,49,2013,2022,10,59.39716312056738,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
