,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length
71,SP Narine,2011-2024,406,3575,15.81,151.54,349,227,2011,2024,14
72,MS Wade,2009-2025,169,3506,27.39,135.21,320,109,2009,2025,17
73,SO Hetmyer,2016-2025,165,3499,30.16,143.81,245,196,2016,2025,10
74,RA Tripathi,2013-2024,156,3485,26.2,135.02,334,129,2013,2024,12
75,KK Nair,2013-2024,163,3462,26.42,134.91,343,116,2013,2024,12
76,SS Tiwary,2007-2023,181,3454,29.02,122.17,272,127,2007,2023,17
77,Mahmudullah,2007-2025,197,3449,24.81,121.91,264,130,2007,2025,19
78,MK Tiwary,2007-2021,178,3400,28.81,116.63,273,90,2007,2021,15
79,Mohammad Hafeez,2007-2023,185,3393,22.03,112.68,318,106,2007,2023,17
80,JM Vince,2012-2025,128,3380,29.64,133.12,371,85,2012,2025,14
81,M Vohra,2013-2024,132,3340,28.79,126.65,332,117,2013,2024,12
82,RA Jadeja,2007-2024,289,3306,25.82,130.0,242,119,2007,2024,18
83,MJ Guptill,2009-2024,138,3281,26.03,119.13,281,133,2009,2024,16
84,DPMD Jayawardene,2007-2017,141,3270,27.94,124.9,360,74,2007,2017,11
85,Kamran Akmal,2007-2022,143,3265,25.31,132.4,348,138,2007,2022,16
86,DJM Short,2016-2025,109,3253,32.85,130.85,316,112,2016,2025,10
87,NLTC Perera,2009-2025,249,3231,21.54,152.33,245,187,2009,2025,17
88,MR Marsh,2010-2025,139,3218,31.54,131.66,231,149,2010,2025,16
89,TH David,2018-2025,177,3216,28.71,157.95,210,203,2018,2025,8
90,DJ Hooda,2013-2024,192,3209,23.59,136.61,219,144,2013,2024,12
91,RS Bopara,2009-2022,169,3166,27.77,116.31,245,83,2009,2022,14
92,Litton Das,2013-2025,141,3159,23.93,125.9,319,108,2013,2025,13
93,JW Wells,2011-2025,144,3131,34.03,122.16,260,56,2011,2025,15
94,CAK Walton,2013-2023,149,3055,24.44,125.97,259,146,2013,2023,11
95,CA Ingram,2010-2025,141,3026,26.31,131.5,262,126,2010,2025,16
96,Fakhar Zaman,2017-2024,109,3007,28.36,136.24,276,123,2017,2024,8
97,CL White,2008-2020,150,2981,26.38,118.15,215,111,2008,2020,13
98,Anamul Haque,2012-2025,139,2963,24.69,119.28,270,113,2012,2025,14
99,NV Ojha,2007-2019,178,2950,21.37,119.48,265,136,2007,2019,13
100,DT Christian,2010-2025,221,2946,20.74,130.87,197,132,2010,2025,16
101,BR McDermott,2014-2025,109,2934,34.92,139.05,207,140,2014,2025,12
102,Abhishek Sharma,2018-2024,111,2926,30.8,157.56,265,166,2018,2024,7
103,PP Shaw,2018-2024,116,2902,25.23,151.61,338,124,2018,2024,7
104,DJ Hussey,2008-2017,142,2869,26.56,123.98,196,114,2008,2017,10
105,BR Dunk,2011-2022,146,2863,22.36,126.68,240,99,2011,2022,12
106,DJG Sammy,2009-2020,220,2856,21.47,140.62,187,175,2009,2020,12
107,TM Dilshan,2007-2016,123,2827,26.66,118.78,334,64,2007,2016,10
108,AI Ross,2014-2025,144,2819,28.19,126.81,213,100,2014,2025,12
109,MN Samuels,2007-2017,116,2807,31.53,118.73,236,113,2007,2017,11
110,Rahmanullah Gurbaz,2019-2025,117,2806,24.83,146.45,217,188,2019,2025,7
111,Ahmed Shehzad,2009-2024,110,2798,27.98,122.88,297,82,2009,2024,16
112,R Powell,2016-2024,161,2797,23.5,137.44,169,189,2016,2024,9
113,SR Tendulkar,2007-2013,95,2787,33.17,121.27,357,38,2007,2013,7
114,D Padikkal,2019-2024,97,2768,31.45,132.56,303,94,2019,2024,6
115,Harpreet Singh,2010-2024,99,2757,35.34,123.96,222,94,2010,2024,15
116,TM Head,2013-2024,98,2757,32.82,147.59,241,134,2013,2024,12
117,VR Iyer,2015-2024,113,2743,37.06,140.45,250,115,2015,2024,10
118,LRPL Taylor,2007-2020,143,2725,27.52,119.83,178,112,2007,2020,14
119,KH Pandya,2013-2024,188,2721,24.07,131.0,234,92,2013,2024,12
120,Mohammad Nabi,2010-2025,231,2716,18.73,127.93,202,116,2010,2025,16
121,S Dube,2016-2024,128,2678,30.43,142.37,159,166,2016,2024,9
122,AR Patel,2013-2024,215,2654,24.12,134.58,179,125,2013,2024,12
123,BCJ Cutting,2012-2024,182,2653,22.67,145.13,184,161,2012,2024,13
124,UT Khawaja,2011-2025,87,2648,33.51,133.6,325,44,2011,2025,15
125,EJG Morgan,2009-2023,146,2647,23.63,122.6,205,115,2009,2023,15
126,AP Tare,2009-2024,130,2630,28.27,132.96,286,75,2009,2024,16
127,R Parag,2017-2024,114,2616,33.11,143.65,176,152,2017,2024,8
128,SD Hope,2015-2025,104,2612,27.78,130.99,184,129,2015,2025,11
129,LS Livingstone,2019-2025,124,2589,25.89,141.63,171,160,2019,2025,7
130,JR Philippe,2017-2025,106,2531,27.51,135.63,246,71,2017,2025,9
131,JM Sharma,2014-2024,117,2525,27.44,150.38,233,120,2014,2024,11
132,GJ Bailey,2009-2020,135,2520,29.3,130.84,213,76,2009,2020,12
133,R Dravid,2007-2013,106,2511,27.59,113.87,307,31,2007,2013,7
134,DJ Malan,2016-2025,93,2489,31.91,125.07,218,84,2016,2025,10
135,MW Short,2014-2025,96,2473,28.75,144.36,196,115,2014,2025,12
136,RK Singh,2014-2024,120,2469,33.36,145.23,196,115,2014,2024,11
137,SW Billings,2016-2025,118,2465,24.89,134.33,219,81,2016,2025,10
138,RM Patidar,2018-2024,75,2463,38.48,158.18,181,143,2018,2024,7
139,M Klinger,2010-2019,91,2461,30.38,116.24,235,50,2010,2019,10
140,PD Salt,2018-2024,114,2459,24.34,152.92,269,95,2018,2024,7
141,KR Mayers,2013-2025,119,2457,24.08,134.04,209,151,2013,2025,13
142,H Klaasen,2018-2025,93,2455,36.1,160.24,146,154,2018,2025,8
143,NT Tilak Varma,2019-2024,74,2449,43.73,146.91,192,117,2019,2024,6
144,SP Goswami,2008-2022,111,2437,26.78,115.55,270,40,2008,2022,15
145,LJ Wright,2007-2018,103,2437,27.38,133.16,261,80,2007,2018,12
146,Virat Singh,2014-2024,86,2432,35.76,128.27,243,67,2014,2024,11
147,KM Jadhav,2007-2023,153,2428,24.52,129.08,217,81,2007,2023,17
